model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires
Audi,111060,190,diesel,blue,estate,True,True,True,False,True,True,True
Renault,52140,230,diesel,blue,sedan,True,True,True,False,False,True,False
BMW,136860,135,diesel,silver,suv,True,True,False,True,False,False,True
Audi,183384,141,petrol,blue,sedan,True,False,True,False,False,False,True
Opel,89703,120,diesel,blue,hatchback,True,True,False,False,True,False,True
BMW,124700,120,diesel,red,suv,True,True,False,True,False,False,True
Peugeot,168833,105,diesel,black,estate,False,True,True,False,False,True,True
Peugeot,161450,100,diesel,brown,sedan,True,True,False,False,False,False,True
Renault,161666,135,diesel,black,estate,False,True,True,False,True,False,True
Renault,94753,85,diesel,black,estate,False,True,False,False,False,False,True
Renault,139719,85,diesel,black,sedan,True,True,False,False,False,True,True
Nissan,191906,105,diesel,silver,suv,False,False,False,True,False,False,True
Audi,139680,160,petrol,blue,sedan,True,True,False,False,True,True,True
Audi,198409,150,diesel,grey,sedan,True,True,False,False,True,False,True
Citroën,194982,135,diesel,white,estate,False,True,False,False,False,False,True
Peugeot,183315,105,diesel,silver,estate,False,True,False,False,True,True,True
Renault,134200,230,diesel,blue,sedan,True,True,True,False,True,True,True
Subaru,64534,225,diesel,white,suv,True,True,True,True,False,False,True
Renault,109651,135,diesel,brown,estate,True,True,True,False,True,False,True
Renault,168180,135,diesel,black,estate,True,True,False,False,True,True,True
Peugeot,160333,100,diesel,white,estate,False,False,False,False,False,True,True
Renault,124484,135,diesel,white,estate,False,True,False,True,True,False,True
Peugeot,131697,105,diesel,grey,estate,False,True,True,False,False,False,True
Citroën,115366,135,diesel,silver,estate,False,True,False,True,False,False,True
Nissan,113649,105,diesel,white,suv,False,True,False,False,False,False,True
BMW,146819,110,diesel,white,suv,True,True,False,False,False,False,True
Peugeot,121459,100,diesel,brown,estate,False,True,False,False,False,True,True
Audi,129421,135,diesel,white,sedan,False,False,False,True,True,False,True
BMW,130245,135,diesel,brown,suv,False,True,False,True,False,False,True
Citroën,162298,120,diesel,grey,sedan,False,True,False,False,True,False,True
BMW,113613,110,diesel,grey,suv,True,True,True,True,True,False,True
Peugeot,137075,100,diesel,grey,estate,True,False,True,False,False,False,True
Volkswagen,224147,180,diesel,grey,sedan,True,True,False,False,True,False,True
Maserati,25858,235,diesel,black,sedan,True,True,False,True,False,False,True
Citroën,202580,130,diesel,black,estate,True,False,False,False,False,False,True
Nissan,58956,105,diesel,white,suv,False,False,False,False,False,False,False
Citroën,304719,110,petrol,black,estate,True,True,False,False,False,False,True
Audi,166872,160,diesel,grey,estate,True,True,False,False,True,False,True
Mitsubishi,84803,160,diesel,white,suv,False,False,False,False,False,False,False
Renault,127694,135,diesel,grey,sedan,True,True,False,False,True,False,True
Audi,306161,120,diesel,blue,estate,True,True,False,False,False,False,True
Renault,219417,110,diesel,black,sedan,True,True,False,False,False,False,True
BMW,147717,101,petrol,black,hatchback,True,True,False,False,False,False,True
BMW,135543,85,diesel,black,hatchback,False,True,False,False,False,False,True
Renault,162245,135,diesel,grey,estate,False,True,False,False,True,False,True
Peugeot,137324,100,diesel,grey,sedan,True,True,False,False,False,False,True
Mitsubishi,147248,225,diesel,grey,suv,True,True,True,True,True,True,True
Renault,270884,100,diesel,blue,estate,True,False,False,False,False,False,True
BMW,242674,110,diesel,black,suv,True,False,True,True,False,False,True
BMW,178558,85,diesel,white,hatchback,False,False,False,False,False,False,True
Audi,162672,100,diesel,blue,estate,True,True,False,False,True,False,True
BMW,126655,135,diesel,grey,suv,True,True,False,False,False,False,True
Peugeot,65933,105,diesel,white,estate,False,False,False,False,False,False,False
BMW,134364,85,diesel,grey,subcompact,True,False,False,False,False,False,True
Renault,359661,75,petrol,grey,sedan,False,False,False,False,False,False,True
Renault,177557,120,diesel,grey,estate,True,True,False,False,False,False,True
Peugeot,103290,100,diesel,grey,sedan,True,True,False,False,False,False,True
Volkswagen,90173,120,diesel,black,hatchback,True,True,False,False,True,False,True
Audi,165549,107,diesel,black,sedan,True,True,False,False,True,False,True
Renault,175761,135,diesel,black,estate,True,True,True,False,False,True,True
Citroën,141775,135,diesel,brown,estate,False,False,False,False,False,False,True
Peugeot,176636,100,diesel,grey,estate,True,True,False,False,True,True,True
Audi,133061,160,diesel,black,estate,True,True,True,True,True,False,True
Opel,27966,140,diesel,white,hatchback,True,True,True,False,False,False,False
Mitsubishi,126147,173,diesel,black,suv,True,True,True,True,True,True,True
Audi,219963,100,diesel,black,sedan,True,True,True,False,False,False,True
Citroën,199877,135,diesel,grey,estate,True,True,True,False,True,True,True
BMW,154269,85,diesel,silver,hatchback,False,False,False,False,False,False,True
Nissan,221585,105,diesel,silver,suv,True,False,False,True,False,False,True
Peugeot,121770,105,diesel,white,estate,False,True,False,False,False,False,True
Citroën,207811,122,diesel,black,estate,False,True,False,False,True,False,True
Peugeot,102758,105,diesel,blue,sedan,False,False,False,False,False,False,False
Mitsubishi,41367,160,diesel,black,suv,True,True,False,False,True,False,True
Renault,115929,135,diesel,brown,sedan,True,True,False,False,True,True,True
Citroën,111093,135,diesel,black,estate,True,True,True,False,True,True,True
Renault,79293,85,diesel,brown,sedan,True,True,False,False,False,False,True
Peugeot,150807,105,diesel,black,estate,False,True,False,False,False,False,True
Audi,230212,150,diesel,blue,estate,True,True,False,False,True,True,True
Citroën,162042,135,diesel,blue,estate,True,True,True,True,True,True,True
BMW,219066,85,diesel,blue,hatchback,True,True,False,False,False,False,True
BMW,163176,85,diesel,blue,hatchback,True,True,False,False,True,False,True
Peugeot,198531,100,diesel,silver,estate,False,True,False,False,False,False,True
Renault,207226,120,diesel,black,estate,True,True,False,False,False,True,True
Toyota,44827,280,diesel,black,suv,True,True,True,True,False,True,True
Renault,65786,120,diesel,blue,estate,True,True,False,False,True,False,True
Citroën,109620,120,diesel,grey,estate,False,True,False,False,True,True,True
Nissan,55307,105,diesel,blue,suv,False,False,False,False,False,False,False
BMW,143031,280,diesel,black,sedan,True,True,True,True,True,True,True
Renault,104602,140,diesel,black,sedan,True,True,False,False,True,False,True
Citroën,187662,120,diesel,black,sedan,False,True,False,False,True,False,True
Citroën,73942,155,diesel,brown,sedan,True,True,False,False,False,True,True
Citroën,195524,122,diesel,black,estate,True,False,False,False,True,False,True
Peugeot,116868,105,diesel,white,estate,False,True,False,False,True,False,True
Peugeot,132941,100,diesel,blue,sedan,False,True,False,False,False,False,True
Audi,41329,190,diesel,grey,estate,True,True,False,True,True,False,True
Nissan,203370,120,diesel,grey,suv,False,True,False,False,False,False,True
Nissan,95667,100,diesel,brown,suv,False,True,True,True,False,False,True
Audi,69948,135,diesel,blue,hatchback,False,True,False,False,True,False,True
Citroën,77334,135,diesel,grey,coupe,False,False,False,False,True,False,True
Citroën,119908,120,diesel,brown,hatchback,True,True,True,False,True,False,True
Citroën,160704,105,diesel,black,hatchback,False,False,False,False,False,True,True
Citroën,181433,120,diesel,white,sedan,False,True,False,False,True,False,True
BMW,172778,160,diesel,blue,suv,True,True,False,True,True,True,True
BMW,86425,190,diesel,silver,suv,False,True,False,False,False,False,True
Peugeot,183906,130,diesel,blue,hatchback,False,False,False,False,False,False,True
Peugeot,153721,100,diesel,brown,estate,True,True,False,False,False,False,True
Peugeot,45305,100,diesel,blue,estate,True,True,False,False,True,False,True
Audi,124588,160,diesel,black,estate,True,True,False,False,False,False,True
SEAT,58117,230,diesel,white,suv,True,True,False,False,True,True,True
BMW,59675,85,diesel,white,hatchback,True,True,True,False,False,True,True
Citroën,103090,135,diesel,blue,estate,True,True,True,True,False,False,True
Citroën,195114,105,diesel,red,convertible,True,True,False,False,False,True,True
Renault,158300,85,diesel,white,estate,True,False,False,False,False,False,True
BMW,175172,85,diesel,grey,hatchback,False,False,False,False,False,False,True
BMW,169720,85,diesel,blue,hatchback,False,False,False,False,False,False,True
Citroën,269389,90,diesel,grey,subcompact,False,False,False,False,False,False,True
BMW,120328,85,diesel,grey,hatchback,False,True,False,False,False,False,True
Renault,166404,120,diesel,grey,estate,True,True,False,False,False,False,True
Citroën,59424,100,diesel,black,hatchback,True,False,False,False,True,True,True
Peugeot,164454,100,diesel,black,estate,True,True,False,False,False,True,True
Mitsubishi,125266,190,diesel,black,suv,False,True,False,True,True,False,True
Mitsubishi,350316,170,petrol,black,suv,True,False,False,False,False,False,True
BMW,176076,190,diesel,white,suv,True,True,False,True,True,True,True
Renault,263523,110,diesel,black,sedan,True,True,False,False,False,False,True
BMW,121821,85,diesel,grey,hatchback,False,False,False,False,False,False,True
Mitsubishi,222177,155,diesel,blue,suv,True,True,False,True,False,False,True
PGO,247305,170,diesel,black,estate,True,False,False,False,False,False,True
Renault,152917,100,diesel,grey,estate,True,True,False,False,True,True,True
